id,message,created_time,like_count,comment_count
1444898224349187_1920787631914175,16 đáp án B  Bùi Thảo Thanh Huyền Hoàng   #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-06T13:30:15+0000,2,0
1444898224349187_1767977800853242,Đáp án đúng: B - 76 Hoa Bằng Lăng Ngô Hoàng Tuấn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T14:43:50+0000,0,0
1444898224349187_1380553267461582,Đáp án B smm 30 Nguyễn Nguyễn Huyết Lục Triều #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T14:48:57+0000,1,263
1444898224349187_1568776641487655,10 đáp án B Ley La Luan Pham Cùi Bấp  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:53:16+0000,0,0
1444898224349187_1733053857687983,Đáp án B - 54 Khánh Huyền HÙNG MANC Lý Phong #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động  năm mới em chúc page phát triển rực rỡ và luôn được nhiều quý khách hàng trong nước và quốc tế luôn theo dõi và luôn ủng hộ cho page thật là nhiều nhé  Luôn có lượng fan cứng hùng hậu ủng hộ nhé chúc page luôn phát triển đơn nổ liên tục máy in đơn mệt nghỉ luôn . Love you😘🫶,2026-06-15T15:09:22+0000,0,0
1444898224349187_1023788203499068,,2026-06-10T10:11:50+0000,0,0
1444898224349187_992957393358558,"[TẶNG 3 MÓN QUÀ] Combo 4 Túi Nước giặt HygienC Plus (2600ml/Túi) công nghệ Thái Lan thơm ngát, làm sạch - (QUÀ: 1 Chai Lau Bếp 250ml + 1 Chai Nước Rửa Chén 400gr + 1 Chai Xịt Khô 100ml màu ngẫu nhiên) https://vt.tiktok.com/ZS927txp8RvuT-P5gQU/",2026-06-08T01:15:49+0000,0,0
1444898224349187_3174328082771799,Đáp án B - 65 Anh Nguyen Thi Hoang Hùng Gold Mỹ Hạnh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động Luôn theo dõi và luôn ủng hộ cho page thật là nhiều nhé,2026-06-15T16:16:11+0000,0,0
1444898224349187_992599763518124,,2026-06-07T01:32:02+0000,1,0
1444898224349187_1692343888672372,,2026-06-06T13:03:50+0000,1,0
1444898224349187_2775609276141713,Đáp án đúng: B - 92 Mina Chimxinh Bin Pé Bin  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T10:34:51+0000,0,0
1444898224349187_1568523978152068,Đáp án B : Dinh dưỡng.  Smm: 19  Hoàng Yến Hoàng Nhi Nè Tuyên Be   #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:51:18+0000,8,238
1444898224349187_2425350247965211,Đáp án đúng: B - 12 Bùi Huy Thuy Nguyet Dang  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T07:34:53+0000,1,2007
